                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0937,                 2.1189,                 1.0405,                0.88906,                0.70673,                0.65329,                0.71819,                0.54197,                0.62721,                0.53383,                0.58702,                0.31694,                0.89701,                 2.0188,                0.96374,                0.86077,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.0369,                 2.0515,                 1.0038,                0.87901,                0.72111,                0.65872,                0.72577,                0.52407,                0.62381,                0.52839,                 0.5769,                0.29863,                0.97285,                 2.1306,                0.97343,                0.86277,              0.0011885,              0.0011885,              0.0011885
                     37,                0.99179,                 2.0782,                0.99137,                0.87427,                0.72759,                0.65706,                0.72458,                0.54875,                0.64198,                 0.5299,                0.58398,                0.31898,                  0.864,                 2.0767,                0.93905,                0.85147,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.0298,                 2.1118,                 0.9848,                0.87418,                 0.7373,                0.62933,                 0.7157,                 0.5441,                 0.6322,                0.51295,                0.56861,                0.30687,                0.85768,                  2.049,                 0.9378,                0.85245,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.0274,                 2.0801,                0.97052,                0.87042,                0.70146,                0.64042,                0.70841,                 0.5341,                0.61048,                0.51412,                0.56822,                0.31918,                0.90436,                 2.1102,                0.94325,                0.85612,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.0988,                 2.1509,                 1.0002,                0.87231,                0.70945,                0.62696,                0.70215,                0.51434,                0.59892,                0.50499,                 0.5524,                0.29474,                0.93881,                 2.0842,                0.97212,                0.86169,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.1119,                 2.0696,                 1.0053,                0.87618,                0.70355,                  0.608,                0.69091,                0.52859,                0.62323,                  0.499,                0.56335,                0.31343,                0.86845,                 2.1496,                0.97871,                0.85279,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.0346,                 2.1263,                 1.0052,                0.87562,                0.70213,                0.64928,                0.71779,                0.54102,                0.62533,                0.53487,                 0.5922,                0.32823,                0.88265,                 2.2033,                0.96725,                0.85442,              0.0011461,              0.0011461,              0.0011461
                     43,                  1.004,                 2.0892,                0.97767,                0.87177,                0.71834,                0.61922,                0.70333,                0.52505,                0.62988,                0.48904,                  0.556,                0.29412,                0.91313,                 2.0554,                0.92812,                0.86038,               0.001139,               0.001139,               0.001139
                     44,                 1.0573,                 2.0603,                0.98593,                0.87372,                0.73643,                0.66049,                0.73285,                0.56527,                0.63961,                0.52503,                0.58265,                0.32248,                0.83214,                 2.0067,                0.90242,                0.85051,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.0422,                  2.081,                0.95764,                0.86791,                0.73022,                0.67543,                 0.7422,                 0.5574,                0.63192,                0.53262,                0.57686,                0.30847,                0.85721,                 2.1271,                0.96188,                0.85149,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.0076,                 2.0036,                0.96474,                0.87089,                0.74832,                0.67591,                0.74861,                0.55176,                0.62393,                0.53696,                0.57586,                0.30242,                 0.9032,                 2.0464,                0.93439,                0.85618,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.0292,                  2.071,                0.99502,                0.86974,                0.73198,                0.65105,                0.72783,                0.56437,                0.65443,                0.52508,                0.59536,                0.34621,                0.82723,                 2.0546,                0.90703,                0.84915,              0.0011107,              0.0011107,              0.0011107
                     48,                 0.9808,                  2.053,                0.97251,                0.86618,                0.69338,                0.61747,                0.70046,                0.54434,                0.62768,                0.50762,                0.57901,                0.33594,                0.83438,                 2.1656,                0.95894,                0.84954,              0.0011036,              0.0011036,              0.0011036
                     49,                 0.9515,                 2.0488,                0.95054,                0.86985,                0.74362,                0.63075,                0.71694,                 0.5409,                 0.6504,                0.50565,                0.57217,                0.31229,                0.89971,                 2.0419,                0.91521,                0.85407,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.0155,                 2.0071,                0.96604,                0.87405,                 0.7436,                0.65843,                0.74217,                0.56412,                0.66291,                0.52993,                  0.603,                0.33514,                0.87664,                 2.0056,                 0.8964,                0.85317,              0.0010895,              0.0010895,              0.0010895
