                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0848,                 2.0119,                0.99424,                0.88286,                0.72385,                0.66865,                0.73052,                0.52871,                0.63987,                 0.5491,                0.58738,                 0.3259,                0.93171,                 2.0967,                0.94681,                0.86153,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.0796,                 2.0716,                 1.0242,                0.87829,                0.70434,                0.67167,                0.73002,                0.54035,                0.63326,                0.55539,                0.60146,                0.34805,                0.90357,                  2.172,                0.98373,                0.85814,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.0728,                 2.1311,                 1.0016,                0.88203,                0.71664,                0.67389,                0.73458,                0.53729,                0.63183,                0.55782,                0.60403,                0.34526,                0.93227,                 2.1543,                0.95157,                0.85972,              0.0011885,              0.0011885,              0.0011885
                     37,                  1.091,                  2.123,                 1.0014,                0.88126,                0.72556,                0.66484,                0.73343,                 0.5405,                0.63398,                0.54487,                0.59448,                0.33485,                0.90029,                 2.0688,                0.93054,                0.85642,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.0432,                 2.1212,                0.99485,                 0.8777,                0.71133,                0.67704,                0.73789,                 0.5534,                0.65842,                0.54647,                0.61007,                0.35191,                0.86554,                 2.1132,                 0.9587,                 0.8544,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.0698,                 2.1324,                 1.0081,                0.87723,                0.74064,                0.67279,                0.74154,                0.53412,                0.67347,                0.53299,                0.60202,                0.32096,                0.96113,                 2.0264,                0.93402,                 0.8608,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.0405,                 2.0039,                0.96033,                0.86841,                0.73542,                0.65914,                0.72722,                0.52951,                0.62178,                0.53558,                0.57422,                0.31662,                0.92887,                 2.1178,                  0.955,                  0.858,              0.0011602,              0.0011602,              0.0011602
                     41,                  1.052,                 2.0251,                0.96083,                0.87562,                0.73814,                0.66423,                0.73652,                0.54569,                0.64536,                0.54445,                0.59303,                 0.3506,                0.87745,                 2.0476,                0.93923,                0.85537,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.0322,                  2.026,                0.96882,                0.87548,                0.74969,                0.67264,                 0.7452,                0.55266,                0.65212,                0.55245,                0.60078,                0.33619,                0.88971,                 1.9959,                0.92781,                0.85718,              0.0011461,              0.0011461,              0.0011461
                     43,                  1.055,                 2.0331,                0.97295,                0.87425,                0.74132,                0.67704,                0.74783,                0.56456,                0.66535,                0.56169,                0.61635,                0.34663,                0.84261,                 2.0316,                0.91912,                0.85026,               0.001139,               0.001139,               0.001139
                     44,                 1.0284,                 2.0004,                0.96418,                0.87153,                0.73661,                 0.6757,                0.74565,                0.55069,                0.66519,                0.54357,                0.60857,                0.33764,                0.88441,                 2.0416,                0.92345,                0.85409,              0.0011319,              0.0011319,              0.0011319
                     45,                0.98668,                 1.9935,                0.93995,                0.86586,                0.71279,                0.68356,                0.74682,                0.56123,                0.64014,                0.55427,                 0.6061,                0.34413,                0.83993,                 2.0659,                0.94057,                 0.8493,              0.0011248,              0.0011248,              0.0011248
